Class_Name,Top1_Accuracy,Top3_Accuracy,Top5_Accuracy,Samples
atoll butterflyfish,95.74,97.87,97.87,47
black-backed butterflyfish,92.0,98.0,100.0,50
crosshatch butterflyfish,94.74,100.0,100.0,38
fourspot butterflyfish,96.08,96.08,96.08,51
highfin coralfish,93.88,97.96,100.0,49
humphead bannerfish,97.96,100.0,100.0,49
indian redfin butterflyfish,96.23,100.0,100.0,53
indian vagabond butterflyfish,94.92,96.61,98.31,59
lined butterflyfish,96.0,98.0,98.0,50
long-beaked coralfish,95.92,100.0,100.0,49
longfin bannerfish,96.15,98.08,100.0,52
margined coralfish,96.3,96.3,100.0,27
masked bannerfish,98.04,100.0,100.0,51
ocellated coralfish,89.47,97.37,100.0,38
oval-spot butterflyfish,100.0,100.0,100.0,46
pacific double-saddle butterflyfish,92.16,94.12,94.12,51
panda butterflyfish,95.56,97.78,97.78,45
pennant bannerfish,81.25,87.5,93.75,48
phantom bannerfish,96.0,100.0,100.0,50
redfin butterflyfish,91.84,97.96,100.0,49
saddleback butterflyfish,96.08,96.08,100.0,51
speckled butterflyfish,91.84,97.96,100.0,49
teardrop butterflyfish,100.0,100.0,100.0,48
threadfin butterflyfish,96.36,100.0,100.0,55
triangular butterflyfish,96.08,98.04,98.04,51
two-eyed coralfish,100.0,100.0,100.0,38
vagabond butterflyfish,98.0,100.0,100.0,50
yellow-dotted butterflyfish,100.0,100.0,100.0,17
Overall,95.19,98.02,99.01,1311
